City Name,Temperature (F),Humidity %,Cloud Coverage %,Wind Speed (mph),City Latitude,City Longitude,City Country,City Local Date_Time,Random_Latitude,Random_Longitude
Machalí,71.6,56,75,5.75,-34.1833,-70.6667,CL,"Thu, 11 Mar 2021 14:10:38",-34.18,-69.52
Ushuaia,39.2,75,75,31.07,-54.8,-68.3,AR,"Thu, 11 Mar 2021 14:10:38",-85.97,-49.25
Leningradskiy,-12.93,63,23,5.28,69.3833,178.4167,RU,"Fri, 12 Mar 2021 05:10:39",86.82,179.35
Hithadhoo,82.51,67,36,5.61,-0.6,73.0833,MV,"Thu, 11 Mar 2021 22:10:39",-13.93,85.06
Thompson,-4.0,59,1,9.22,55.7435,-97.8558,CA,"Thu, 11 Mar 2021 11:10:40",77.93,-95.3
Ilulissat,19.4,53,40,4.61,69.2167,-51.1,GL,"Thu, 11 Mar 2021 14:10:40",79.96,-45.34
Sitka,35.6,80,90,10.36,57.0531,-135.33,US,"Thu, 11 Mar 2021 08:10:41",49.62,-143.22
Inta,4.12,94,100,21.41,66.0317,60.1659,RU,"Thu, 11 Mar 2021 20:10:41",67.64,59.03
Biloela,68.4,90,0,6.87,-24.4167,150.5,AU,"Fri, 12 Mar 2021 03:10:41",-24.52,150.77
Svetlaya,25.99,75,59,7.74,46.5389,138.3297,RU,"Fri, 12 Mar 2021 03:10:42",45.46,137.8
Samdrup Jongkhar District,63.09,56,58,5.14,26.9167,91.6167,BT,"Thu, 11 Mar 2021 23:10:42",26.91,91.59
Pevek,-16.38,74,55,14.88,69.7008,170.3133,RU,"Fri, 12 Mar 2021 05:10:42",86.44,173.96
Davila,77.41,77,67,11.16,18.4726,120.5763,PH,"Fri, 12 Mar 2021 01:10:43",18.5,120.25
Rafaela,91.99,32,96,1.99,-31.2503,-61.4867,AR,"Thu, 11 Mar 2021 14:10:43",-31.94,-61.53
Cape Town,71.6,56,20,6.91,-33.9258,18.4232,ZA,"Thu, 11 Mar 2021 19:08:53",-59.99,-12.7
Vaini,75.2,78,75,8.05,-21.2,-175.2,TO,"Fri, 12 Mar 2021 06:10:44",-62.73,-169.07
Provideniya,-7.17,74,0,5.03,64.3833,-173.3,RU,"Fri, 12 Mar 2021 05:10:44",58.43,-170.46
Bonthe,84.7,67,33,12.44,7.5264,-12.505,SL,"Thu, 11 Mar 2021 17:10:44",2.14,-16.45
Atuona,79.48,70,100,12.28,-9.8,-139.0333,PF,"Thu, 11 Mar 2021 07:40:45",5.12,-134.45
Talcahuano,68.0,52,0,12.66,-36.7167,-73.1167,CL,"Thu, 11 Mar 2021 14:10:45",-35.13,-75.39
Lata,63.0,54,99,3.0,40.1629,-8.3327,SB,"Thu, 11 Mar 2021 17:10:45",-6.38,165.62
Lüderitz,70.16,80,0,17.2,-26.6481,15.1594,NA,"Thu, 11 Mar 2021 19:10:46",-34.91,-1.15
Taganak,78.8,94,20,3.44,6.0833,118.3,PH,"Fri, 12 Mar 2021 01:10:46",6.49,117.99
Airai,60.42,95,63,0.81,-8.9266,125.4092,PW,"Fri, 12 Mar 2021 02:10:46",15.51,145.38
Bredasdorp,69.8,64,84,11.5,-34.5322,20.0403,ZA,"Thu, 11 Mar 2021 19:10:47",-82.26,24.47
Piranshahr,44.49,72,44,9.91,36.701,45.1413,IR,"Thu, 11 Mar 2021 20:37:16",36.66,45.01
Miquelon,35.6,80,75,27.63,47.0975,-56.3814,PM,"Thu, 11 Mar 2021 14:10:47",47.92,-56.77
Panguna,69.33,96,95,1.43,-6.3164,155.4848,PG,"Fri, 12 Mar 2021 04:10:47",-6.95,154.3
Carnarvon,77.0,83,1,11.5,-24.8667,113.6333,AU,"Fri, 12 Mar 2021 01:10:48",-21.49,102.88
Busselton,64.0,97,100,3.0,-33.65,115.3333,AU,"Fri, 12 Mar 2021 01:10:48",-84.15,80.38
Poum,78.46,73,61,13.65,-20.2333,164.0167,NC,"Fri, 12 Mar 2021 04:10:49",-16.87,163.34
Thap Than,84.0,72,0,1.74,15.4606,99.8917,TH,"Fri, 12 Mar 2021 00:10:49",15.26,99.37
Rocha,80.83,37,82,4.61,-34.4833,-54.3333,UY,"Thu, 11 Mar 2021 14:10:26",-48.82,-40.98
Kousséri,107.6,6,0,11.5,12.0769,15.0306,CM,"Thu, 11 Mar 2021 18:10:49",11.69,15.21
Nelson Bay,71.6,78,90,6.91,-32.7167,152.15,AU,"Fri, 12 Mar 2021 04:10:50",-33.8,153.49
Mar del Plata,75.2,73,40,12.66,-38.0023,-57.5575,AR,"Thu, 11 Mar 2021 14:09:46",-57.56,-45.16
Saint Anthony,41.0,56,1,17.27,45.0205,-93.218,CA,"Thu, 11 Mar 2021 11:10:51",51.86,-52.79
Castelbuono,54.0,60,0,5.01,37.932,14.0886,IT,"Thu, 11 Mar 2021 18:10:51",37.81,14.03
Palafrugell,62.6,59,0,9.22,41.9174,3.1631,ES,"Thu, 11 Mar 2021 18:10:51",41.83,4.38
Maxixe,82.4,69,0,11.5,-23.8597,35.3472,MZ,"Thu, 11 Mar 2021 19:08:17",-24.19,34.78
Nanortalik,22.32,71,59,12.68,60.1432,-45.2371,GL,"Thu, 11 Mar 2021 14:10:52",50.65,-40.39
Nikolskoye,21.99,53,0,11.18,59.7035,30.7861,RU,"Thu, 11 Mar 2021 20:10:52",34.26,178.89
Butaritari,79.95,78,75,14.7,3.0707,172.7902,KI,"Fri, 12 Mar 2021 05:10:53",22.67,170.17
Comodoro Rivadavia,75.2,27,0,28.77,-45.8667,-67.5,AR,"Thu, 11 Mar 2021 14:07:31",-46.42,-68.79
Ahipara,59.13,88,3,4.9,-35.1667,173.1667,NZ,"Fri, 12 Mar 2021 06:10:53",-35.43,172.72
Jamestown,62.6,51,40,18.54,42.097,-79.2353,SH,"Thu, 11 Mar 2021 12:07:38",-20.22,-4.36
Katsuura,53.01,81,75,8.05,35.1333,140.3,JP,"Fri, 12 Mar 2021 02:10:53",18.86,151.53
Hong Kong,69.01,87,30,8.43,22.2855,114.1577,SC,"Fri, 12 Mar 2021 01:09:47",-6.35,61.24
Abhā,68.0,82,0,10.36,18.2164,42.5053,SA,"Thu, 11 Mar 2021 20:10:54",21.03,43.0
Hermanus,69.01,67,85,7.0,-34.4187,19.2345,ZA,"Thu, 11 Mar 2021 19:10:54",-52.68,10.85
Nhulunbuy,77.0,94,92,9.84,-12.2333,136.7667,AU,"Fri, 12 Mar 2021 02:40:55",-12.94,140.33
Hilo,68.0,88,90,3.44,19.7297,-155.09,US,"Thu, 11 Mar 2021 07:08:15",15.09,-154.36
North Bend,48.99,76,1,3.56,43.4065,-124.2243,US,"Thu, 11 Mar 2021 09:10:55",43.23,-132.04
Toccoa,69.8,43,1,3.44,34.5773,-83.3324,US,"Thu, 11 Mar 2021 12:10:56",34.59,-83.45
Mizdah,59.5,45,15,16.51,31.4451,12.9801,LY,"Thu, 11 Mar 2021 19:10:56",29.56,13.69
Lerwick,44.6,76,40,31.07,60.1545,-1.1494,GB,"Thu, 11 Mar 2021 17:10:56",60.0,1.65
Punta Arenas,50.0,62,75,26.46,-53.15,-70.9167,CL,"Thu, 11 Mar 2021 14:10:57",-85.24,-119.92
Belle Fourche,39.99,38,1,1.63,44.6714,-103.8522,US,"Thu, 11 Mar 2021 10:10:57",45.5,-104.57
Bengkulu,76.35,89,76,3.6,-3.8004,102.2655,ID,"Fri, 12 Mar 2021 00:10:57",-11.48,95.91
Lebu,62.42,62,12,16.37,-37.6167,-73.65,CL,"Thu, 11 Mar 2021 14:10:02",-36.91,-104.27
Iqaluit,-13.0,64,40,4.61,63.7506,-68.5145,CA,"Thu, 11 Mar 2021 12:10:58",57.75,-70.31
Carhuamayo,47.05,63,83,7.96,-10.9167,-76.0333,PE,"Thu, 11 Mar 2021 12:10:58",-10.9,-75.84
Rovaniemi,14.0,79,90,14.97,66.5,25.7167,FI,"Thu, 11 Mar 2021 19:10:59",66.3,26.08
Kyshtovka,16.77,95,100,8.08,56.555,76.6271,RU,"Fri, 12 Mar 2021 00:10:59",57.4,76.42
Chennai,80.6,74,20,8.05,13.0878,80.2785,IN,"Thu, 11 Mar 2021 22:40:59",12.65,81.19
Cabra,66.99,42,32,1.99,37.4725,-4.4421,PH,"Thu, 11 Mar 2021 18:11:00",13.98,118.75
Isangel,75.33,84,3,11.61,-19.55,169.2667,VU,"Fri, 12 Mar 2021 04:11:00",-19.49,175.8
Vodnyy,9.73,87,100,7.78,63.5046,53.4095,RU,"Thu, 11 Mar 2021 20:11:00",63.65,53.19
Novo Aripuanã,77.0,95,100,4.85,-5.1206,-60.3797,BR,"Thu, 11 Mar 2021 13:11:01",-5.11,-59.93
Sinnamary,78.91,87,89,13.42,5.3833,-52.95,GF,"Thu, 11 Mar 2021 14:11:01",10.7,-49.45
Port Alfred,66.99,83,72,5.01,-33.5906,26.891,ZA,"Thu, 11 Mar 2021 19:11:01",-60.35,42.09
Saint-François,53.6,76,90,13.8,46.4154,3.9054,GP,"Thu, 11 Mar 2021 18:11:02",17.23,-57.58
Ati,87.73,8,69,2.26,13.2154,18.3353,TD,"Thu, 11 Mar 2021 18:12:25",13.78,18.44
Mbekenyera,74.07,96,100,6.38,-10.0,38.9833,TZ,"Thu, 11 Mar 2021 20:12:26",-9.45,39.1
Kaitangata,44.2,93,63,5.19,-46.2817,169.8464,NZ,"Fri, 12 Mar 2021 06:12:26",-56.93,176.66
Cidreira,77.67,58,43,7.9,-30.1811,-50.2056,BR,"Thu, 11 Mar 2021 14:12:26",-59.84,-19.38
Alofi,66.2,100,97,3.38,-19.0595,-169.9187,NU,"Thu, 11 Mar 2021 06:12:27",-17.86,-166.65
Eyl,77.0,81,2,14.94,7.9803,49.8164,SO,"Thu, 11 Mar 2021 20:12:27",5.29,55.39
Tiksi,-9.35,89,100,19.66,71.6872,128.8694,RU,"Fri, 12 Mar 2021 02:12:28",71.63,127.25
Hobart,59.0,88,90,2.3,-42.8794,147.3294,AU,"Fri, 12 Mar 2021 04:12:28",-64.74,153.75
Venado Tuerto,95.2,21,25,5.95,-33.7456,-61.9688,AR,"Thu, 11 Mar 2021 14:12:28",-33.24,-62.32
Ancud,64.99,77,75,14.97,-41.8697,-73.8203,CL,"Thu, 11 Mar 2021 14:12:29",-41.0,-87.25
Biltine,91.11,6,52,9.33,14.5333,20.9167,TD,"Thu, 11 Mar 2021 18:12:29",14.78,20.29
Tuatapere,43.0,92,58,1.99,-46.1333,167.6833,NZ,"Fri, 12 Mar 2021 06:12:29",-54.98,157.08
Pochutla,90.0,48,1,8.05,15.7432,-96.4661,MX,"Thu, 11 Mar 2021 11:12:30",6.17,-97.23
Pisco,78.01,83,20,10.36,-13.7,-76.2167,PE,"Thu, 11 Mar 2021 12:12:30",-22.26,-87.15
Cayenne,82.99,89,75,9.22,4.9333,-52.3333,GF,"Thu, 11 Mar 2021 14:12:30",13.56,-45.37
Saldanha,71.6,43,100,9.22,-33.0117,17.9442,ZA,"Thu, 11 Mar 2021 19:12:31",-31.63,15.9
George Town,80.6,74,20,2.3,5.4112,100.3354,SH,"Fri, 12 Mar 2021 01:11:21",-8.97,-14.47
Beringovskiy,-2.83,73,0,4.94,63.05,179.3167,RU,"Fri, 12 Mar 2021 05:12:31",50.95,179.96
Pasinler,33.8,93,75,2.3,39.9803,41.6764,TR,"Thu, 11 Mar 2021 20:12:32",39.66,41.95
Nome,-23.8,76,1,6.91,64.5011,-165.4064,US,"Thu, 11 Mar 2021 08:09:49",69.18,-164.01
Bethel,66.2,34,1,11.5,41.3712,-73.414,US,"Thu, 11 Mar 2021 12:12:32",46.53,-167.61
Castro,77.5,53,2,8.57,-24.7911,-50.0119,CL,"Thu, 11 Mar 2021 14:12:32",-44.69,-98.0
Matara,77.47,87,82,8.68,5.9485,80.5353,LK,"Thu, 11 Mar 2021 22:42:33",0.73,80.7
Yarmouth,55.0,62,1,18.41,41.7057,-70.2286,CA,"Thu, 11 Mar 2021 12:12:33",41.42,-67.17
Chui,79.07,44,85,1.54,-33.6971,-53.4616,UY,"Thu, 11 Mar 2021 14:12:34",-60.76,-26.96
Tasiilaq,23.0,54,40,1.14,65.6145,-37.6368,GL,"Thu, 11 Mar 2021 14:12:34",53.62,-32.07
Mwinilunga,66.85,90,100,2.59,-11.7358,24.4293,ZM,"Thu, 11 Mar 2021 19:12:34",-11.89,25.11
Tessalit,84.09,6,6,14.56,20.1986,1.0114,ML,"Thu, 11 Mar 2021 17:12:35",20.41,0.37
Tautira,82.4,78,40,5.75,-17.7333,-149.15,PF,"Thu, 11 Mar 2021 07:12:35",-18.09,-148.42
Wilmington,72.0,46,40,6.91,34.2257,-77.9447,US,"Thu, 11 Mar 2021 12:02:30",30.81,-75.5
Dourbali,95.25,8,95,6.71,11.8091,15.8632,TD,"Thu, 11 Mar 2021 18:12:36",12.17,15.76
Kavaratti,83.7,66,63,5.32,10.5669,72.642,IN,"Thu, 11 Mar 2021 22:42:36",8.16,63.54
Esperance,66.2,88,40,8.05,-33.8667,121.9,AU,"Fri, 12 Mar 2021 01:11:08",-35.88,124.59
Constitución,69.12,56,0,15.28,-35.3333,-72.4167,CL,"Thu, 11 Mar 2021 14:09:20",-32.24,-77.91
Dikson,-14.46,93,100,22.68,73.5069,80.5464,RU,"Fri, 12 Mar 2021 00:12:37",72.21,77.95
Rādhanpur,75.11,49,0,8.75,23.8333,71.6,IN,"Thu, 11 Mar 2021 22:42:37",24.02,71.64
Qaanaaq,4.41,60,0,3.6,77.484,-69.3632,GL,"Thu, 11 Mar 2021 13:12:37",78.77,-72.0
Tuktoyaktuk,1.4,85,90,13.8,69.4541,-133.0374,CA,"Thu, 11 Mar 2021 10:12:38",81.76,-120.76
Vestmannaeyjar,37.4,70,0,17.27,63.4427,-20.2734,IS,"Thu, 11 Mar 2021 17:12:38",55.83,-22.07
Linxia Chengguanzhen,47.95,26,22,1.86,35.6003,103.2064,CN,"Fri, 12 Mar 2021 01:12:38",35.28,103.71
Mastic Beach,55.4,54,1,14.97,40.7668,-72.8521,US,"Thu, 11 Mar 2021 12:12:39",40.16,-72.03
Hue,73.4,94,20,3.44,16.4667,107.6,VN,"Fri, 12 Mar 2021 00:12:39",16.64,107.13
New Norfolk,59.0,88,90,2.3,-42.7826,147.0587,AU,"Fri, 12 Mar 2021 04:12:39",-48.61,139.79
Rapid Valley,41.0,52,1,4.61,44.0625,-103.1463,US,"Thu, 11 Mar 2021 10:11:11",43.76,-102.61
Dogbo,89.91,54,91,14.12,6.8167,1.7833,BJ,"Thu, 11 Mar 2021 18:12:40",6.82,1.97
Villazón,63.16,24,0,4.88,-22.0866,-65.5942,BO,"Thu, 11 Mar 2021 13:12:40",-22.3,-66.72
Muisne,79.25,79,94,5.08,0.6,-80.0333,EC,"Thu, 11 Mar 2021 12:12:41",3.31,-82.74
Yangambi,82.0,59,70,2.21,0.8102,24.4336,CD,"Thu, 11 Mar 2021 19:12:41",-0.47,23.9
Batu,75.2,94,20,3.44,-7.87,112.5283,ID,"Fri, 12 Mar 2021 00:12:41",-7.8,112.55
Whitianga,55.99,97,7,1.01,-36.8333,175.7,NZ,"Fri, 12 Mar 2021 06:12:42",-34.96,177.41
Shimoda,46.0,88,94,7.67,34.6667,138.95,JP,"Fri, 12 Mar 2021 02:12:42",26.96,141.65
Bismarck,32.0,59,90,17.27,46.8083,-100.7837,US,"Thu, 11 Mar 2021 11:08:02",47.61,-100.18
Henties Bay,66.0,88,0,5.01,-22.116,14.2845,NA,"Thu, 11 Mar 2021 19:12:43",-22.89,6.15
Avarua,77.0,88,97,4.61,-21.2078,-159.775,CK,"Thu, 11 Mar 2021 07:12:43",-54.57,-164.18
Longyearbyen,12.2,67,40,14.97,78.2186,15.6401,SJ,"Thu, 11 Mar 2021 18:12:43",88.67,14.25
Don Luan,75.25,73,66,2.33,11.5333,106.9167,VN,"Fri, 12 Mar 2021 00:12:44",11.99,106.5
Berlevåg,17.6,86,35,46.04,70.8578,29.0864,NO,"Thu, 11 Mar 2021 18:12:44",83.14,32.13
Bagdarin,13.66,95,37,2.89,54.4333,113.6,RU,"Fri, 12 Mar 2021 01:12:33",54.93,114.61
Awjilah,69.04,43,75,17.69,29.1081,21.2869,LY,"Thu, 11 Mar 2021 19:12:45",24.75,19.75
Torbay,37.99,55,90,32.21,47.6666,-52.7314,CA,"Thu, 11 Mar 2021 13:42:45",35.3,-46.37
Evensk,-0.96,85,97,10.78,61.95,159.2333,RU,"Fri, 12 Mar 2021 04:12:46",61.25,158.76
Lučani,41.0,64,0,5.75,43.8608,20.1381,RS,"Thu, 11 Mar 2021 18:12:46",44.0,20.1
Ust'-Koksa,17.02,90,94,2.1,50.2696,85.6108,RU,"Fri, 12 Mar 2021 00:12:46",49.54,85.58
Greece,69.8,40,75,21.85,43.2098,-77.6931,US,"Thu, 11 Mar 2021 12:12:47",43.36,-77.71
Tarancón,64.0,50,44,25.99,40.0085,-3.0073,ES,"Thu, 11 Mar 2021 18:12:47",40.19,-2.89
Meulaboh,78.06,84,91,2.75,4.1363,96.1285,ID,"Fri, 12 Mar 2021 00:12:48",-3.31,89.44
Nabire,75.34,92,80,3.42,-3.3667,135.4833,ID,"Fri, 12 Mar 2021 02:08:21",-5.02,137.55
Namatanai,78.73,78,78,3.11,-3.6667,152.4333,PG,"Fri, 12 Mar 2021 03:12:48",-1.26,154.41
Mbandaka,83.12,66,54,2.77,0.0487,18.2603,CD,"Thu, 11 Mar 2021 18:10:26",0.37,19.49
Thio,73.4,78,90,4.61,-21.6167,166.2167,NC,"Fri, 12 Mar 2021 04:12:49",-21.56,166.09
Caravelas,85.42,55,0,11.59,-17.7125,-39.2481,BR,"Thu, 11 Mar 2021 14:12:49",-21.94,-24.53
Araouane,83.1,14,0,20.13,18.9048,-3.5265,ML,"Thu, 11 Mar 2021 17:14:01",19.42,-3.67
Dukat,-12.21,71,49,0.74,62.55,155.55,RU,"Fri, 12 Mar 2021 04:14:01",63.33,155.22
Agnibilékrou,90.54,48,83,3.4,7.1344,-3.2047,CI,"Thu, 11 Mar 2021 17:14:02",7.28,-3.21
Aksu,47.21,35,99,1.23,41.1231,80.2644,CN,"Fri, 12 Mar 2021 01:14:02",38.63,81.95
Whyalla,60.8,94,7,4.61,-33.0333,137.5833,AU,"Fri, 12 Mar 2021 03:44:02",-33.53,136.94
Kondoa,66.4,69,0,3.53,-4.9,35.7833,TZ,"Thu, 11 Mar 2021 20:14:03",-4.96,36.03
Faanui,82.0,76,49,12.84,-16.4833,-151.75,PF,"Thu, 11 Mar 2021 07:14:03",-9.98,-159.99
Malko Tarnovo,37.4,65,75,12.66,41.9833,27.5333,BG,"Thu, 11 Mar 2021 19:14:03",41.92,27.44
Dingle,74.23,96,100,10.2,10.9995,122.6711,IE,"Fri, 12 Mar 2021 01:14:04",51.48,-17.2
Óbidos,85.51,61,69,4.52,-1.9175,-55.5181,BR,"Thu, 11 Mar 2021 14:14:04",-1.83,-55.55
Bone,53.01,68,72,5.01,51.9669,12.1396,ID,"Thu, 11 Mar 2021 18:14:05",-4.16,121.06
Mahabalipuram,80.6,74,20,8.05,12.6264,80.1722,IN,"Thu, 11 Mar 2021 22:44:05",11.5,82.63
Gobabis,79.97,28,62,11.68,-22.45,18.9667,NA,"Thu, 11 Mar 2021 19:14:05",-22.44,20.2
Río Gallegos,60.8,33,75,40.29,-51.6226,-69.2181,AR,"Thu, 11 Mar 2021 14:14:06",-51.32,-66.83
Lagoa,55.49,67,50,11.97,39.05,-27.9833,PT,"Thu, 11 Mar 2021 16:14:06",40.97,-27.16
São José da Coroa Grande,84.83,65,92,11.39,-8.8978,-35.1478,BR,"Thu, 11 Mar 2021 14:14:06",-14.08,-25.51
Manado,73.4,94,20,1.14,1.487,124.8455,ID,"Fri, 12 Mar 2021 01:14:07",2.94,123.15
Karratha,86.52,62,92,4.72,-20.7377,116.8463,AU,"Fri, 12 Mar 2021 01:14:07",-20.57,116.02
Kibaya,63.0,76,0,3.87,-5.3,36.5667,TZ,"Thu, 11 Mar 2021 20:14:07",-5.5,36.34
St. George's,79.95,71,15,16.13,12.0564,-61.7485,GF,"Thu, 11 Mar 2021 13:14:08",4.11,-51.63
East Stroudsburg,62.01,36,70,7.72,40.9995,-75.1813,US,"Thu, 11 Mar 2021 12:14:08",41.04,-75.1
Waipawa,57.2,72,75,12.66,-41.4122,175.5153,NZ,"Fri, 12 Mar 2021 06:14:09",-42.43,175.58
Camopi,74.68,98,100,2.91,3.1655,-52.3158,GF,"Thu, 11 Mar 2021 14:14:09",1.51,-54.22
Muromtsevo,13.66,89,94,8.84,56.3724,75.2418,RU,"Thu, 11 Mar 2021 23:14:10",56.64,75.39
Petropavlovsk-Kamchatskiy,26.6,100,40,4.47,53.0452,158.6483,RU,"Fri, 12 Mar 2021 05:14:10",50.4,162.21
Shirokiy,12.69,95,0,2.19,49.758,129.523,RU,"Fri, 12 Mar 2021 02:14:11",63.73,148.41
San Felipe,82.62,61,72,8.63,10.3399,-68.7425,MX,"Thu, 11 Mar 2021 13:14:11",31.32,-114.94
Mahébourg,80.6,78,75,12.66,-20.4081,57.7,MU,"Thu, 11 Mar 2021 21:14:11",-48.0,78.99
Fortuna,46.0,100,40,8.05,40.5982,-124.1573,US,"Thu, 11 Mar 2021 09:14:12",35.9,-141.89
Lubao,77.0,73,75,6.91,14.9167,120.55,CD,"Fri, 12 Mar 2021 01:14:12",-4.48,25.26
Clovis,48.0,71,90,4.61,36.8252,-119.7029,US,"Thu, 11 Mar 2021 09:14:13",34.57,-103.24
Cabo San Lucas,77.0,53,40,3.44,22.8909,-109.9124,MX,"Thu, 11 Mar 2021 10:10:36",9.53,-118.36
Cherskiy,-15.11,79,9,7.78,68.75,161.3,RU,"Fri, 12 Mar 2021 04:14:13",81.62,160.83
Bambous Virieux,80.6,78,75,12.66,-20.3428,57.7575,MU,"Thu, 11 Mar 2021 21:14:14",-24.48,62.71
Severo-Kuril'sk,30.06,94,63,20.49,50.6789,156.125,RU,"Fri, 12 Mar 2021 04:14:14",37.54,161.49
Tarumovka,27.19,53,100,17.02,44.0761,46.5361,RU,"Thu, 11 Mar 2021 20:14:14",44.18,46.34
"Leibnitz, Styria",45.0,70,100,3.78,46.7816,15.5384,AT,"Thu, 11 Mar 2021 18:14:15",46.83,15.5
Bereda,53.01,100,98,5.99,43.2686,-7.5406,SO,"Thu, 11 Mar 2021 18:14:15",14.46,51.09
Kalangala,77.0,69,20,11.5,-0.3089,32.225,UG,"Thu, 11 Mar 2021 20:14:15",-0.66,33.18
Coyhaique,60.8,59,75,5.75,-45.5752,-72.0662,CL,"Thu, 11 Mar 2021 14:14:16",-50.07,-82.52
Visnes,44.6,81,75,20.71,59.3556,5.2242,NO,"Thu, 11 Mar 2021 18:14:16",58.05,3.24
Nyurba,5.29,95,99,3.06,63.2842,118.3319,RU,"Fri, 12 Mar 2021 02:14:16",67.18,117.62
Dera Bugti,72.5,16,0,3.22,29.0307,69.151,PK,"Thu, 11 Mar 2021 22:14:17",29.32,69.38
Nizwá,76.96,19,6,8.16,22.9333,57.5333,OM,"Thu, 11 Mar 2021 21:14:17",20.96,56.96
Jumla,42.21,70,44,3.27,29.2747,82.1838,NP,"Thu, 11 Mar 2021 22:59:17",31.28,83.83
Esperanza,80.01,71,37,7.0,19.5847,-70.9849,PH,"Thu, 11 Mar 2021 13:14:18",10.72,124.46
São Lourenço da Mata,84.2,65,40,10.36,-8.0022,-35.0183,BR,"Thu, 11 Mar 2021 14:14:18",-8.04,-35.08
Oyama,54.0,87,75,2.3,36.3,139.8,JP,"Fri, 12 Mar 2021 02:14:19",30.62,138.94
Trairi,85.68,70,99,12.75,-3.2778,-39.2689,BR,"Thu, 11 Mar 2021 14:14:08",2.97,-35.87
Emerald,73.4,88,15,9.22,-23.5333,148.1667,AU,"Fri, 12 Mar 2021 03:14:19",-24.34,143.49
Labuhan,77.18,86,100,6.8,-6.8844,112.2051,ID,"Fri, 12 Mar 2021 00:14:19",-12.93,98.81
